"repoID","numberOfCommits","duration","frequency","updatedAt","createdAt","popularity"
"60266911","38","181","4.7632","2016-11-30","2016-06-02","6054"
"63752974","2759","133","0.0482","2016-11-30","2016-07-20","5582"
"65711522","722","107","0.1482","2016-11-30","2016-08-15","4817"
"70036319","67","56","0.8358","2016-11-30","2016-10-05","4812"
"63262178","809","140","0.1731","2016-11-30","2016-07-13","4108"
"64970925","1085","118","0.1088","2016-11-30","2016-08-04","4039"
"60630844","130","176","1.3538","2016-11-30","2016-06-07","3570"
"65851975","9","106","11.7778","2016-11-30","2016-08-16","3428"
"64635494","51","121","2.3725","2016-11-30","2016-08-01","3183"
"61847006","250","159","0.6360","2016-11-30","2016-06-24","2791"
"61412022","1305","165","0.1264","2016-11-30","2016-06-18","2728"
"64815511","36","119","3.3056","2016-11-30","2016-08-03","2542"
"63730796","80","134","1.6750","2016-11-30","2016-07-19","2540"
"61687257","104","161","1.5481","2016-11-30","2016-06-22","2463"
"64085193","24","129","5.3750","2016-11-30","2016-07-24","2407"
"64864962","321","119","0.3707","2016-11-30","2016-08-03","2271"
"64817102","382","119","0.3115","2016-11-30","2016-08-03","2245"
"63832089","21","132","6.2857","2016-11-30","2016-07-21","2236"
"60991082","127","171","1.3465","2016-11-30","2016-06-12","2170"
"61856995","2583","159","0.0616","2016-11-30","2016-06-24","2139"
"66709063","33","95","2.8788","2016-11-30","2016-08-27","2123"
"66121085","99","102","1.0303","2016-11-30","2016-08-20","2121"
"60246359","8851","181","0.0204","2016-11-30","2016-06-02","2000"
"62722814","563","147","0.2611","2016-11-30","2016-07-06","1777"
"66848830","109","93","0.8532","2016-11-30","2016-08-29","1759"
"68627122","430","72","0.1674","2016-11-30","2016-09-19","1739"
"69393843","86","64","0.7442","2016-11-30","2016-09-27","1707"
"61613985","51","162","3.1765","2016-11-30","2016-06-21","1701"
"65138856","58","115","1.9828","2016-11-30","2016-08-07","1692"
"73598162","31","17","0.5484","2016-11-30","2016-11-13","1663"
"68010404","68","79","1.1618","2016-11-30","2016-09-12","1661"
"72069409","245","34","0.1388","2016-11-30","2016-10-27","1636"
"61581396","105","163","1.5524","2016-11-30","2016-06-20","1631"
"60145667","443","181","0.4086","2016-11-29","2016-06-01","1620"
"70920445","31","47","1.5161","2016-11-30","2016-10-14","1617"
"68132933","28","78","2.7857","2016-11-30","2016-09-13","1617"
"61661892","621","162","0.2609","2016-11-30","2016-06-21","1605"
"62087567","243","155","0.6379","2016-11-29","2016-06-27","1588"
"62540781","42","149","3.5476","2016-11-30","2016-07-04","1544"
"64170263","22","128","5.8182","2016-11-30","2016-07-25","1541"
"66623001","100","95","0.9500","2016-11-29","2016-08-26","1529"
"63499395","681","137","0.2012","2016-11-30","2016-07-16","1508"
"61980073","152","157","1.0329","2016-11-30","2016-06-26","1488"
"61500246","22","164","7.4545","2016-11-30","2016-06-19","1483"
"72979537","27","24","0.8889","2016-11-30","2016-11-06","1454"
"65196748","28","113","4.0357","2016-11-29","2016-08-08","1443"
"65019435","39","117","3.0000","2016-11-30","2016-08-05","1441"
"65215684","76","114","1.5000","2016-11-30","2016-08-08","1409"
"68572656","42","72","1.7143","2016-11-30","2016-09-19","1409"
"69658054","115","60","0.5217","2016-11-29","2016-09-30","1393"
"67508428","70","85","1.2143","2016-11-30","2016-09-06","1391"
"68827685","22","70","3.1818","2016-11-30","2016-09-21","1384"
"61306609","11","166","15.0909","2016-11-29","2016-06-16","1344"
"64873196","380","119","0.3132","2016-11-30","2016-08-03","1326"
"67105438","19","90","4.7368","2016-11-30","2016-09-01","1311"
"63821245","52","133","2.5577","2016-11-30","2016-07-20","1295"
"64858321","15","119","7.9333","2016-11-30","2016-08-03","1287"
"62564394","32","149","4.6563","2016-11-30","2016-07-04","1261"
"71402554","80","42","0.5250","2016-11-30","2016-10-19","1128"
"63838735","534","130","0.2434","2016-11-28","2016-07-21","1114"
"63537564","264","136","0.5152","2016-11-30","2016-07-17","1111"
"69570428","36","62","1.7222","2016-11-30","2016-09-29","1111"
"60904803","212","171","0.8066","2016-11-29","2016-06-11","1108"
"67892585","169","80","0.4734","2016-11-29","2016-09-10","993"
"63615358","10","135","13.5000","2016-11-30","2016-07-18","992"
"66061669","25","102","4.0800","2016-11-29","2016-08-19","987"
"67131628","41","86","2.0976","2016-11-26","2016-09-01","942"
"68036822","150","78","0.5200","2016-11-29","2016-09-12","934"
"61969625","268","154","0.5746","2016-11-27","2016-06-26","926"
"60911140","28","171","6.1071","2016-11-29","2016-06-11","916"
"68833911","20","67","3.3500","2016-11-27","2016-09-21","915"
"60626727","600","176","0.2933","2016-11-30","2016-06-07","896"
"69054457","58","68","1.1724","2016-11-30","2016-09-23","842"
"64276762","6303","123","0.0195","2016-11-27","2016-07-27","828"
"74023448","55","13","0.2364","2016-11-30","2016-11-17","815"
"67221943","36","85","2.3611","2016-11-26","2016-09-02","808"
"63073314","793","142","0.1791","2016-11-30","2016-07-11","807"
"65837532","879","102","0.1160","2016-11-26","2016-08-16","793"
"67361765","152","87","0.5724","2016-11-30","2016-09-04","783"
"63832360","294","131","0.4456","2016-11-29","2016-07-21","777"
"66573241","930","97","0.1043","2016-11-30","2016-08-25","777"
"62104351","12","155","12.9167","2016-11-30","2016-06-28","768"
"70307904","149","53","0.3557","2016-11-30","2016-10-08","767"
"73614722","111","17","0.1532","2016-11-30","2016-11-13","747"
"62302683","34","153","4.5000","2016-11-30","2016-06-30","729"
"71740230","2488","37","0.0149","2016-11-30","2016-10-24","723"
"64476521","109","123","1.1284","2016-11-29","2016-07-29","718"
"60216473","508","175","0.3445","2016-11-23","2016-06-01","717"
"63831271","107","132","1.2336","2016-11-30","2016-07-21","710"
"70726575","19","49","2.5789","2016-11-30","2016-10-12","705"
"67468634","156","85","0.5449","2016-11-30","2016-09-06","705"
"65375706","3","112","37.3333","2016-11-30","2016-08-10","688"
"68009403","18","79","4.3889","2016-11-30","2016-09-12","686"
"63533668","40","133","3.3250","2016-11-27","2016-07-17","683"
"70798228","46","48","1.0435","2016-11-30","2016-10-13","681"
"62773012","1730","146","0.0844","2016-11-30","2016-07-07","674"
"65412330","19","96","5.0526","2016-11-14","2016-08-10","671"
"66777429","66","94","1.4242","2016-11-30","2016-08-28","667"
"70460785","79","51","0.6456","2016-11-30","2016-10-10","660"
"63256719","92","132","1.4348","2016-11-22","2016-07-13","652"
"74137778","17","12","0.7059","2016-11-30","2016-11-18","648"
"65206209","350","114","0.3257","2016-11-30","2016-08-08","643"
"68070021","47","72","1.5319","2016-11-24","2016-09-13","638"
"64185596","132","127","0.9621","2016-11-30","2016-07-26","638"
"73670742","7821","16","0.0020","2016-11-30","2016-11-14","635"
"65002142","47","116","2.4681","2016-11-29","2016-08-05","627"
"71984071","20","35","1.7500","2016-11-30","2016-10-26","618"
"70246852","37","53","1.4324","2016-11-29","2016-10-07","618"
"64179654","209","127","0.6077","2016-11-30","2016-07-26","610"
"70566525","9","49","5.4444","2016-11-29","2016-10-11","605"
"67824365","34","75","2.2059","2016-11-23","2016-09-09","602"
"61528745","10","162","16.2000","2016-11-29","2016-06-20","600"
"70356386","194","53","0.2732","2016-11-30","2016-10-08","583"
"64512332","51","123","2.4118","2016-11-29","2016-07-29","583"
"65250675","34","113","3.3235","2016-11-30","2016-08-09","566"
"70608741","14","50","3.5714","2016-11-30","2016-10-11","563"
"64836918","226","116","0.5133","2016-11-27","2016-08-03","543"
"65869386","529","105","0.1985","2016-11-30","2016-08-17","521"
"60708386","31","173","5.5806","2016-11-28","2016-06-08","518"
"74544308","15","7","0.4667","2016-11-30","2016-11-23","517"
"68888972","43","69","1.6047","2016-11-30","2016-09-22","513"
"63740695","36","133","3.6944","2016-11-30","2016-07-20","500"
"61706237","20","161","8.0500","2016-11-30","2016-06-22","495"
"68003307","45","78","1.7333","2016-11-29","2016-09-12","489"
"72028619","52","34","0.6538","2016-11-29","2016-10-26","484"
"61428110","33","165","5.0000","2016-11-30","2016-06-18","480"
"60886617","11","172","15.6364","2016-11-30","2016-06-11","477"
"65761779","4","106","26.5000","2016-11-29","2016-08-15","476"
"64292993","178","121","0.6798","2016-11-25","2016-07-27","475"
"63205112","15","140","9.3333","2016-11-30","2016-07-13","475"
"67109930","12","90","7.5000","2016-11-30","2016-09-01","472"
"60582280","41","176","4.2927","2016-11-30","2016-06-07","470"
"61202556","123","160","1.3008","2016-11-22","2016-06-15","469"
"70810380","14","48","3.4286","2016-11-30","2016-10-13","469"
"67574353","55","84","1.5273","2016-11-30","2016-09-07","463"
"60773023","269","174","0.6468","2016-11-30","2016-06-09","455"
"63759748","303","133","0.4389","2016-11-30","2016-07-20","452"
"65978545","47","97","2.0638","2016-11-23","2016-08-18","448"
"67777628","4","81","20.2500","2016-11-29","2016-09-09","444"
"61560884","1557","162","0.1040","2016-11-29","2016-06-20","442"
"62714540","87","147","1.6897","2016-11-30","2016-07-06","439"
"74231079","14","11","0.7857","2016-11-30","2016-11-19","438"
"63978270","49","131","2.6735","2016-11-30","2016-07-22","432"
"66609611","27","94","3.4815","2016-11-28","2016-08-26","427"
"71893358","11","36","3.2727","2016-11-30","2016-10-25","427"
"66012679","198","103","0.5202","2016-11-29","2016-08-18","426"
"61201489","87","167","1.9195","2016-11-29","2016-06-15","419"
"68385152","24","72","3.0000","2016-11-27","2016-09-16","412"
"60608712","23","171","7.4348","2016-11-25","2016-06-07","407"
"67928192","207","80","0.3865","2016-11-30","2016-09-11","407"
"66712801","206","95","0.4612","2016-11-30","2016-08-27","397"
"70602866","38","50","1.3158","2016-11-30","2016-10-11","392"
"66067331","39","103","2.6410","2016-11-30","2016-08-19","390"
"60692320","1208","175","0.1449","2016-11-30","2016-06-08","388"
"67727697","492","81","0.1646","2016-11-28","2016-09-08","385"
"64352538","575","123","0.2139","2016-11-28","2016-07-28","373"
"72200828","12","33","2.7500","2016-11-30","2016-10-28","372"
"61392620","303","165","0.5446","2016-11-29","2016-06-17","369"
"68402336","1665","75","0.0450","2016-11-30","2016-09-16","365"
"73470675","24","19","0.7917","2016-11-30","2016-11-11","364"
"62477866","2","150","75.0000","2016-11-30","2016-07-03","359"
"67599737","4535","83","0.0183","2016-11-29","2016-09-07","358"
"63768051","36","133","3.6944","2016-11-30","2016-07-20","355"
"60823306","2582","167","0.0647","2016-11-24","2016-06-10","355"
"73914408","32","14","0.4375","2016-11-30","2016-11-16","354"
"60907774","314","172","0.5478","2016-11-30","2016-06-11","352"
"61110134","397","169","0.4257","2016-11-30","2016-06-14","351"
"65773643","1342","103","0.0768","2016-11-27","2016-08-16","349"
"71347028","141","42","0.2979","2016-11-30","2016-10-19","343"
"64713769","183","120","0.6557","2016-11-30","2016-08-02","343"
"60655868","394","175","0.4442","2016-11-30","2016-06-08","343"
"62276677","17","152","8.9412","2016-11-29","2016-06-30","339"
"64497532","78","124","1.5897","2016-11-30","2016-07-29","335"
"68089637","62","78","1.2581","2016-11-30","2016-09-13","335"
"69761580","31","59","1.9032","2016-11-29","2016-10-01","333"
"64893263","75","118","1.5733","2016-11-30","2016-08-04","333"
"74126261","11","12","1.0909","2016-11-30","2016-11-18","332"
"67841511","70","81","1.1571","2016-11-30","2016-09-10","330"
"62731388","8","140","17.5000","2016-11-23","2016-07-06","327"
"69217772","9","65","7.2222","2016-11-30","2016-09-26","324"
"62117818","1300","155","0.1192","2016-11-30","2016-06-28","324"
"61434637","105","165","1.5714","2016-11-30","2016-06-18","323"
"65300077","27","112","4.1481","2016-11-29","2016-08-09","321"
"73394942","27","19","0.7037","2016-11-29","2016-11-10","321"
"62167585","336","153","0.4554","2016-11-28","2016-06-28","320"
"64985001","100","107","1.0700","2016-11-20","2016-08-05","317"
"72989278","25","23","0.9200","2016-11-29","2016-11-06","314"
"71099614","166","44","0.2651","2016-11-30","2016-10-17","312"
"61812387","26","159","6.1154","2016-11-29","2016-06-23","307"
"65586052","203","108","0.5320","2016-11-28","2016-08-12","306"
"61966967","12","157","13.0833","2016-11-30","2016-06-26","304"
