"openIssue","watchersCount","forksCount","popularity","repoSize"
"583","0","0","0","325920"
"427","966","140","1106","245104"
"343","595","114","709","103925"
"333","26","18","44","50434"
"319","144","42","186","20014"
"309","684","430","1114","27393"
"279","48","13","61","28684"
"259","0","13","13","68566"
"251","0","0","0","15965"
"249","1","0","1","332316"
"221","2556","1483","4039","34232"
"215","1","0","1","39358"
"207","11","0","11","25078"
"172","132","68","200","240139"
"167","2070","470","2540","34961"
"144","3373","197","3570","11026"
"142","0","0","0","12585"
"135","3895","922","4817","22265"
"134","58","11","69","129037"
"130","9","5","14","13492"
"125","94","348","442","359947"
"125","0","1","1","3835096"
"124","13","9","22","14345"
"123","4","7","11","14672"
"119","5","17","22","136722"
"119","4","2","6","846716"
"115","8","3","11","411513"
"110","3797","1785","5582","19006"
"105","161","182","343","52224"
"105","56","12","68","157451"
"102","6","6","12","14560"
"101","44","6","50","30723"
"98","22","30","52","18522"
"98","382","411","793","72885"
"97","6","6","12","47971"
"97","13","3","16","15361"
"92","36","89","125","14058"
"88","1","1","2","58261"
"86","11","0","11","66203"
"86","0","0","0","1027014"
"85","1","0","1","201762"
"84","1","0","1","139395"
"83","6","2","8","96419"
"83","7","1","8","632267"
"82","74","17","91","45591"
"80","1","1","2","56389"
"78","0","5","5","15474"
"77","8","5","13","147030"
"77","7","1","8","55067"
"76","12","16","28","11598"
"75","0","0","0","31776"
"75","13","1","14","39506"
"74","0","1","1","14669"
"74","43","49","92","55986"
"74","37","9","46","14126"
"73","0","6","6","39550"
"70","1","1","2","36886"
"68","3","0","3","10989"
"68","24","16","40","21264"
"68","919","237","1156","225541"
"68","0","0","0","18382"
"66","0","0","0","2607"
"66","14","18","32","20188"
"65","0","0","0","51284"
"64","2","0","2","332550"
"63","2","4","6","18529"
"61","1800","200","2000","35120"
"60","92","25","117","131984"
"60","2","41","43","65146"
"60","14","11","25","33293"
"58","165","159","324","41930"
"58","6","3","9","37212"
"57","1","0","1","16057"
"57","6","20","26","21716"
"56","1","1","2","15744"
"56","3","0","3","19198"
"56","7","0","7","15791"
"55","0","0","0","109247"
"54","8","5","13","14929"
"54","14","10","24","32143"
"54","2","0","2","78189"
"53","253","96","349","75474"
"53","0","0","0","227772"
"53","0","6","6","114062"
"52","1341","247","1588","24130"
"52","59","69","128","232487"
"51","457","153","610","30448"
"51","70","7","77","83310"
"51","1","5","6","25012"
"51","0","1","1","13670"
"51","0","0","0","160987"
"50","2","1","3","99449"
"48","1107","401","1508","14080"
"48","51","26","77","46786"
"48","5","7","12","208647"
"48","4","1","5","16810"
"47","1","0","1","25070"
"47","6","5","11","194448"
"46","0","1","1","13757"
"46","1429","207","1636","19042"
"46","3","0","3","143205"
"46","2","4","6","465198"
"46","5","1","6","92733"
"46","1","3","4","56685"
"46","123","27","150","43585"
"46","2","0","2","37758"
"45","0","0","0","25643"
"45","0","1","1","54018"
"44","0","1","1","87274"
"44","0","0","0","16712"
"44","0","0","0","178850"
"44","0","0","0","18125"
"44","317","38","355","15302"
"44","1","0","1","254615"
"44","0","0","0","71342"
"43","2","1","3","13117"
"43","69","11","80","46090"
"43","0","0","0","54295"
"43","0","0","0","13492"
"42","47","11","58","12182"
"42","3","1","4","25193"
"42","1","0","1","14100"
"42","0","0","0","16484"
"42","0","4","4","52461"
"42","2","15","17","31656"
"42","2670","121","2791","109417"
"42","0","0","0","26118"
"42","0","4","4","45449"
"42","0","0","0","16039"
"41","15","8","23","42495"
"41","12","3","15","406236"
"41","0","0","0","12651"
"41","0","0","0","262483"
"41","4","0","4","156230"
"40","0","0","0","11791"
"40","1093","524","1617","113603"
"40","13","0","13","77925"
"40","2","0","2","11054"
"39","0","1","1","44038"
"39","4","8","12","502079"
"39","0","0","0","13617"
"38","1","1","2","16993"
"38","35","27","62","11562"
"38","2","3","5","42566"
"38","0","0","0","17296"
"37","0","0","0","95462"
"37","20","7","27","52881"
"37","228","26","254","24010"
"37","0","0","0","19094"
"37","4","1","5","43697"
"36","1","0","1","48495"
"36","0","0","0","26522"
"36","14","7","21","106277"
"36","30","18","48","111179"
"36","0","3","3","45972"
"36","0","0","0","31598"
"36","0","0","0","11794"
"36","11","0","11","54423"
"36","1","0","1","1629368"
"35","2","3","5","15705"
"35","1","0","1","14226"
"35","0","0","0","10780"
"35","6","2","8","12435"
"35","9","3","12","76182"
"35","1","0","1","42086"
"34","282","61","343","48747"
"34","1","2","3","35596"
"34","24","32","56","14081"
"34","327","38","365","18938"
"34","209","149","358","58791"
"34","1","0","1","24127"
"33","16","12","28","106646"
"33","12","14","26","27063"
"33","3","0","3","45629"
"33","2103","67","2170","11332"
"33","388","54","442","42414"
"33","0","1","1","57509"
"33","1","4","5","16473"
"33","12","2","14","20444"
"32","1409","368","1777","30530"
"32","0","1","1","20473"
"32","6","4","10","42189"
"32","0","0","0","90170"
"32","10","2","12","23939"
"32","1302","329","1631","61735"
"32","5","3","8","31561"
"32","2613","115","2728","42525"
"32","3","3","6","98513"
"32","1","1","2","61874"
"32","100","48","148","14895"
"32","8","0","8","243964"
"31","0","0","0","53570"
"31","43","27","70","36706"
"31","139","73","212","19508"
"31","4","1","5","26989"
"31","50","31","81","62127"
"31","1","0","1","14049"
"31","4","8","12","14244"
"31","4","1","5","19007"
"31","6","2","8","23466"
"31","1","0","1","76677"
"31","3","1","4","24984"
"31","1","1","2","177388"
"31","116","37","153","22062"
"31","8","7","15","13506"
"31","2","1","3","15192"
"31","47","12","59","53780"
"31","0","0","0","23887"
"31","0","1","1","243801"
"30","0","0","0","45498"
"30","76","18","94","12169"
"30","0","0","0","10017"
"30","0","0","0","39317"
"30","1","0","1","51947"
"30","1","0","1","10329"
"30","25","11","36","13979"
"30","1","1","2","19869"
"30","3","5","8","15846"
"30","1042","69","1111","10513"
"30","345","130","475","19051"
"30","1","2","3","31067"
"30","0","0","0","569366"
"29","1","1","2","24479"
"29","3","1","4","14256"
"29","3","2","5","135549"
"29","21","18","39","39514"
"29","0","1","1","56515"
"29","68","23","91","35187"
"29","78","14","92","22599"
"29","17","12","29","22809"
"29","12","5","17","55095"
"29","1","1","2","24388"
"29","0","0","0","23776"
"29","19","5","24","10662"
"29","0","0","0","64666"
"28","10","6","16","233285"
"28","11","8","19","18919"
"28","0","0","0","24327"
"28","0","0","0","101348"
"28","0","0","0","16132"
"28","0","5","5","189536"
"28","0","0","0","24941"
"28","0","1","1","101143"
"28","0","4","4","15651"
"28","4","0","4","22031"
"28","0","0","0","16814"
"27","110","41","151","31310"
"27","3","0","3","683494"
"27","1","0","1","455889"
"27","0","1","1","17180"
"27","2","6","8","321565"
"27","1","0","1","28148"
"27","40","22","62","13175"
"27","150","39","189","49498"
"27","0","0","0","26535"
"27","5","0","5","31256"
"27","0","0","0","26080"
"27","1","0","1","263687"
"26","60","33","93","23845"
"26","113","22","135","98784"
"26","0","0","0","10406"
"26","62","4","66","20095"
"26","0","0","0","84943"
"26","2","27","29","187366"
"26","0","0","0","11292"
"26","0","32","32","13949"
"26","0","0","0","115911"
"26","1","0","1","25856"
"26","0","0","0","25809"
"26","0","2","2","12952"
"26","226","50","276","27092"
"26","1","2","3","20146"
"26","11","11","22","24148"
"26","20","2","22","55552"
"26","0","0","0","87785"
"26","451","326","777","19914"
"26","0","0","0","79554"
"25","3","1","4","21058"
"25","6","1","7","25495"
"25","5","2","7","18345"
"25","0","0","0","45990"
"25","0","0","0","14770"
"25","1","1","2","35226"
"25","0","0","0","29264"
"25","8","2","10","515337"
"25","0","25","25","14615"
"25","0","25","25","13657"
"25","0","0","0","11354"
"25","15","3","18","22463"
"25","1","0","1","76469"
"25","108","11","119","292223"
"25","7","1","8","16838"
"25","0","2","2","13421"
"25","1325","84","1409","46729"
"25","0","0","0","128428"
"25","0","0","0","23179"
"25","0","1","1","85877"
"25","1","2","3","47645"
"24","0","0","0","73349"
"24","1","0","1","43709"
"24","0","1","1","13238"
"24","0","2","2","21999"
"24","2","1","3","25189"
"24","0","0","0","46266"
"24","0","0","0","35668"
"24","10","13","23","15267"
"24","12","20","32","27064"
"24","8","16","24","12161"
"24","1","0","1","88497"
"24","5","0","5","18269"
"24","313","60","373","24332"
"24","0","0","0","24059"
"24","745","38","783","19192"
"24","0","0","0","81924"
"24","5","3","8","25228"
"24","49","4","53","110602"
"24","7","0","7","35782"
"24","0","0","0","89383"
"23","26","6","32","20037"
"23","4","0","4","25321"
"23","1","0","1","34833"
"23","0","0","0","22946"
"23","3","0","3","20964"
"23","83","50","133","13376"
"23","16","12","28","14497"
"23","0","0","0","1074100"
"23","0","0","0","88941"
"23","138","41","179","18416"
"23","0","25","25","11961"
"23","70","54","124","10128"
"23","1","0","1","35791"
"23","2","3","5","17393"
"23","3","3","6","31212"
"23","1","1","2","27268"
"23","0","4","4","25350"
"23","0","0","0","238087"
"23","0","0","0","13044"
"23","0","0","0","25463"
"23","200","31","231","28825"
"23","1","0","1","28811"
"23","2","16","18","10611"
"23","0","1","1","89840"
"23","2","0","2","61852"
"23","176","101","277","43527"
"23","16","16","32","191383"
"23","62","7","69","56866"
"22","1","0","1","33839"
"22","1999","272","2271","60803"
"22","0","0","0","252434"
"22","6","3","9","12687"
"22","1","0","1","14200"
"22","2","5","7","19854"
"22","3","0","3","22771"
"22","0","3","3","43308"
"22","11","2","13","12580"
"22","1","0","1","10993"
"22","0","0","0","12415"
"22","12","7","19","19741"
"22","59","18","77","19046"
"22","3","0","3","32431"
"22","2","10","12","23440"
"22","2","2","4","1006280"
"22","0","0","0","11891"
"22","3","0","3","13313"
"22","1","0","1","100016"
"22","0","8","8","24166"
"22","3854","254","4108","47155"
"22","17","6","23","14474"
"22","0","1","1","234507"
"22","1","0","1","37290"
"22","1","0","1","15418"
"22","1","0","1","10955"
"22","0","2","2","14014"
"22","1","0","1","34327"
"22","0","0","0","20276"
"22","2","0","2","15230"
"22","197","22","219","19649"
"22","0","0","0","69188"
"22","0","1","1","331833"
"22","0","0","0","315637"
"21","1","1","2","33808"
"21","1","0","1","19846"
"21","44","101","145","509744"
"21","2","0","2","12422"
"21","7","8","15","35039"
"21","1","0","1","428838"
"21","0","1","1","28569"
"21","6","6","12","23504"
"21","1","1","2","35713"
"21","4","0","4","26249"
"21","2","1","3","104090"
"21","0","0","0","93450"
"21","1","2","3","370550"
"21","1","0","1","53311"
"21","0","0","0","10525"
"21","274","32","306","70184"
"21","0","2","2","18430"
"21","0","0","0","101914"
"21","7","0","7","88117"
"21","1","0","1","26487"
"21","2","1","3","16637"
"21","0","4","4","26564"
"21","0","1","1","25016"
"21","2","0","2","25141"
"21","1","0","1","12763"
"21","0","0","0","24728"
"21","3","0","3","120563"
"21","6","4","10","70526"
"21","4","0","4","205097"
"20","1","0","1","20552"
"20","1","6","7","11134"
"20","2","1","3","11008"
"20","2","0","2","43610"
"20","3","0","3","10898"
"20","1","4","5","95296"
"20","2","1","3","10679"
"20","20","3","23","10975"
"20","32","10","42","41097"
"20","0","21","21","13944"
"20","1","0","1","73173"
"20","2","0","2","601608"
"20","1","23","24","56036"
"20","0","0","0","39933"
"20","117","26","143","11615"
"20","4","0","4","16649"
"20","1","2","3","15640"
"20","0","0","0","50966"
"20","1","0","1","102480"
"20","2","0","2","13844"
"20","0","1","1","21386"
"20","68","7","75","104332"
"20","0","76","76","13001"
"20","0","0","0","177656"
"20","186","24","210","15574"
"19","27","17","44","39054"
"19","2","0","2","17380"
"19","5","2","7","93418"
"19","0","27","27","122874"
"19","0","0","0","57585"
"19","5","26","31","45076"
"19","0","107","107","19068"
"19","0","1","1","77152"
"19","13","3","16","10104"
"19","9","17","26","20872"
"19","0","1","1","19166"
"19","17","2","19","57646"
"19","32","1","33","30236"
"19","1","0","1","118333"
"19","1","0","1","35167"
"19","1","0","1","18151"
"19","20","0","20","10529"
"19","8","4","12","84609"
"19","7","1","8","13858"
"19","0","29","29","127287"
"19","0","0","0","103376"
"19","0","0","0","78118"
"19","0","21","21","12064"
"19","5","4","9","10817"
"19","1","0","1","347985"
"19","6","3","9","81295"
"19","2","3","5","12225"
"19","1","0","1","16637"
"19","1","0","1","20837"
"19","104","76","180","14621"
"19","1","0","1","62430"
"19","0","0","0","112141"
"19","75","2","77","21893"
"19","1","15","16","10232"
"19","0","4","4","79105"
"19","2","0","2","79740"
"19","0","0","0","46932"
"19","0","1","1","39130"
"19","8","5","13","16043"
"19","0","1","1","318318"
"19","0","2","2","17238"
"19","16","0","16","368030"
"19","0","0","0","102813"
"19","1","0","1","26562"
"19","0","0","0","71508"
"19","33","8","41","10372"
"19","0","0","0","36348"
"18","1","1","2","49829"
"18","1","0","1","10402"
"18","0","1","1","18340"
"18","5","2","7","46859"
"18","0","0","0","34783"
"18","6","3","9","57927"
"18","0","3","3","277422"
"18","4","3","7","55364"
"18","0","0","0","39658"
"18","0","1","1","39715"
"18","0","1","1","84373"
"18","1","1","2","12566"
"18","0","0","0","224872"
"18","8","2","10","209466"
"18","1","5","6","18689"
"18","0","0","0","40899"
"18","0","1","1","71579"
"18","20","1","21","57138"
"18","1420","322","1742","410550"
"18","0","0","0","103281"
"18","0","0","0","10809"
"18","20","6","26","122240"
"18","0","0","0","13197"
"18","6","1","7","20131"
"18","2","2","4","33571"
"18","0","0","0","10534"
"18","0","0","0","30225"
"18","0","1","1","11589"
"18","0","0","0","59658"
"18","1","0","1","229782"
"18","2","0","2","28639"
"18","1","1","2","11477"
"18","4","0","4","37972"
"18","13","0","13","113108"
"18","0","4","4","62575"
"18","20","5","25","10471"
"18","7","2","9","27049"
"18","6","2","8","14399"
"18","0","0","0","32115"
"18","0","0","0","31764"
"18","2","1","3","10305"
"18","1","0","1","142319"
"18","1","0","1","101750"
"18","0","0","0","11938"
"17","1","0","1","20327"
"17","1","0","1","43752"
"17","1","0","1","25162"
"17","0","0","0","151084"
"17","643","80","723","102310"
"17","17","8","25","18870"
"17","1","0","1","22283"
"17","0","2","2","20376"
"17","36","4","40","19325"
"17","0","0","0","48782"
"17","0","19","19","13657"
"17","0","19","19","14614"
"17","0","1","1","80692"
"17","1","0","1","21065"
"17","0","0","0","26040"
"17","0","0","0","40787"
"17","0","1","1","10115"
"17","1","0","1","61724"
"17","2","1","3","18938"
"17","3","0","3","57023"
"17","0","0","0","20925"
"17","1","1","2","29621"
"17","1","0","1","43324"
"17","3","0","3","18163"
"17","20","1","21","14316"
"17","20","1","21","21221"
"17","0","0","0","15446"
"17","5","3","8","14591"
"17","0","0","0","40482"
"17","168","19","187","15080"
"17","0","1","1","92082"
"17","14","4","18","17522"
"16","1","0","1","10374"
"16","2033","430","2463","16333"
"16","0","0","0","105362"
"16","265","70","335","18468"
"16","16","3","19","27647"
"16","0","0","0","72018"
"16","0","0","0","127219"
"16","0","0","0","12073"
"16","3","2","5","326295"
"16","13","11","24","13299"
"16","67","12","79","22306"
"16","0","0","0","54404"
"16","2","4","6","13847"
"16","0","1","1","130506"
"16","6","1","7","15800"
"16","0","0","0","25651"
"16","2","1","3","287360"
"16","33","7","40","13977"
"16","2","0","2","43384"
"16","0","0","0","15594"
"16","2","4","6","17594"
"16","1","1","2","10154"
"16","0","16","16","19550"
"16","4","0","4","100420"
