"repoName","repoID","numberOfCommits","numberOfFiles"
"bilibili-android-client","60145667","443","234"
"SortRichEditor","60176069","98","16"
"SprintNBA","60463203","213","441"
"JAADAS","60319699","30","4325"
"fangyuanshili","60449956","15","212"
"Sport_Android","60459021","50","52"
"react-native-media-kit","60341518","71","19"
"CleanArch","60156249","6","23"
"Community","60188015","10","137"
"mojito","60379785","69","607"
"android-tvheadend","60466023","261","77"
"Dribbbler","60395071","46","36"
"Factorization","60204051","3815","564"
"android_frameworks_base","60332720","201116","8639"
"springexamples","60223405","2","112"
"ExpandableLayout","60608712","23","17"
"react-native-firestack","60655868","394","32"
"Android-SlidingEmojiKeyboard","60697878","12","27"
"android","60561834","6187","277"
"ClassifyView","60682238","47","34"
"FraudDetection-DataMicroservices","60737384","47","34"
"MHGenDatabase","60881315","183","280"
"ti.goosh","60849090","100","6"
"react-native-twilio-ip-messaging","60699546","223","20"
"ZhihuNews","60848846","8","65"
"Jisort","60695853","334","66"
"MDVideo","60621842","92","52"
"frameworks_base","60807738","246586","10708"
"FocusResize","60911140","28","11"
"CircleProgressBar","60886617","11","5"
"sealtalk-android","61201489","87","251"
"WeatherAlarmClock","60942427","317","222"
"PullToLoadMoreView","61189932","5","5"
"janino","60977924","1242","172"
"MinecraftPEServer","60897163","64","4"
"LoopViewPagerLayout","60919168","32","19"
"ZhuangbiMaster","60960153","17","53"
"Aion-Lightning-4.9","61112061","100","5247"
"demo-app-imlib-live-chatroom-android","61005729","21","31"
"react-native-contacts-wrapper","61179178","28","28"
"LyricManager","60912040","1","9"
"giiwa","61117349","567","270"
"Android_Suixinliao","61169565","538","145"
"thunderboard-android","61065950","3","97"
"L2jUnity","60920898","3248","14704"
"skeleton","61180413","66","119"
"InformationExtraction","60999896","345","59"
"ExpandingPager","61500246","22","16"
"RecyclerViewUndoSwipe","61306609","11","11"
"PassWordInput","61302844","25","9"
"MVPframe","61355630","19","79"
"ssm","61446080","7","14"
"seckill","61269379","10","21"
"TradeIn","61470360","6","152"
"betweenus","61562687","5","33"
"incubator-pirk","61468488","179","573"
"jAlbum","61444503","230","48"
"Goodtime","61319303","193","24"
"Mycroft-Android","61550130","73","20"
"livestream_demo_android","61516932","29","105"
"HappyPlayer2016-06-09-new","61476339","15","178"
"SpringMVC_Study","61254128","25","29"
"cosmic","61372044","500","4199"
"marklogic-contentpump","61568170","10883","255"
"JavaBatch730June","61259393","13","75"
"iot-school","61425996","206","187"
"BrightIndoorSDK_Android","61344012","11","10"
"A178470","61536337","68","145"
"Course-Materials","61297522","875","424"
"StepView","61687257","104","15"
"LoadingView","61613985","51","26"
"bonfire-firebase-sample","61706237","20","99"
"photofilter","61812387","26","7"
"SlidingBallViewPager","61697891","17","13"
"wasabi","61667990","567","989"
"XMVideo","61616340","7","60"
"MoeMusic","61789843","94","220"
"Vivecraft_110","61960935","34","259"
"AdViewPager","61862360","12","5"
"SmartTouch","61788433","16","61"
"TianChi_CaiNiao_Season2","61600906","4","24"
"Kockoc","61594492","287","153"
"ROMInstaller","61750253","338","19"
"scsb-etl","61646128","668","210"
"packages_apps_Settings","61715292","22628","512"
"BangSoccer","61769231","290","106"
"MagicIndicator","61980073","152","45"
"VideoListDemo","62104351","12","21"
"MarkdownEditors","62302683","34","68"
"AndroidEdit","62276677","17","2"
"MoeQuest","61979200","78","79"
"incubator-carbondata","62117818","1300","897"
"VitamioDemo","62238917","13","42"
"UltimateSwipeTool","62110917","19","32"
"science-journal","62246684","883","434"
"android-material-stepper","62123604","24","34"
"SwipeLayoutRecyclerView","62300119","20","24"
"LKShop","62030175","16","119"
"voxelshop","61968968","516","296"
"HwReader","62319564","35","97"
"PolygonProgressView","62032116","10","4"
"GiggleViewRecorder","62308145","8","12"
"YiPlayer","61989410","21","55"
"GTAS","62250821","162","1992"
"AnyRTCDemo-Eclipse","62116627","6","112"
"JavaDocs","62122230","37","163"
"game","62000765","47","54"
"AndroidChromium","62540781","42","883"
"ThemeSkinning","62613029","35","45"
"HFRecycleView","62505459","30","47"
"emojilike-android","62543545","17","19"
"cloud-espm-v2","62535317","17","86"
"Pokkit","62498695","182","102"
"TouTiaoTabBar","62528181","11","15"
"gef","62662381","3985","838"
"Retrofit2.0_Demo","62609619","128","27"
"White","62569390","27","32"
"IridiumApplicationTesting","62607333","642","176"
"rn-learning","62417027","34","128"
"SIGM","62373731","49","12700"
"Go","62362003","25","99"
"Toury","62591215","90","17"
"badparking-android","62498011","389","56"
"VirtualApp","62722814","563","572"
"mengqu","63002629","8","98"
"CoordinatorLayoutDemo","62790033","3","12"
"intellij","62894057","16","840"
"LanSoEditor_advance","62800551","41","83"
"DataVec","62700410","335","835"
"mao-rn-android-kit","62895258","81","24"
"iBase4J","62878202","491","254"
"Cordova_shopping","62927968","39","2008"
"gcs","62752379","456","244"
"Scada-LTS","62729823","51","2887"
"AndroidStudy2016","62936235","19","11"
"Mix","62832104","170","5207"
"ThreeDViewer","62797233","47","19"
"APitunes","62833672","185","5747"
"OpenEyes","63205112","15","78"
"ijkplayer","63305327","5","63"
"grakn","63110867","747","841"
"StickyHeaders","63439398","29","13"
"AndroidMaryTTS","63228339","45","2269"
"fastdex","63214860","29","781"
"MAHAndroidUpdater","63134929","56","16"
"SPICE","63381130","4","19"
"ShortRoid","63342226","48","15"
"react-native-sms","63281162","50","4"
"littleluck","63142140","83","668"
"QRCodeLoginDemo","63069642","1","18"
"PokemonGO","63292838","8","3075"
"pay","63134160","12","219"
"microservices_with_spring_boot_cloud_security","63344856","68","45"
"Vitamio_IJKPlay_MediaPlay","63387865","17","82"
"finalspeed-91yun","63284789","43","75"
"CodeChix-Technical-Curriculums","63387448","95","42"
"PokeGOAPI-Java","63499395","681","147"
"PokemonGo_Android_RE","63533668","40","98"
"LCRapidDevelop","63740695","36","115"
"FontZip","63768051","36","526"
"jcalaBlog","63759748","303","409"
"Mysplash","63559856","93","303"
"SHSwipeRefreshLayout","63518892","16","12"
"AndroidTools","63773114","60","46"
"StyleDemo","63678660","16","36"
"Pokemon_NoGo","63669999","30","12"
"GN4R","63508852","78","71"
