"repoName","repoID","language","numberOfLines","numberOfFiles"
"bilibili-android-client","60145667","java","49785","234"
"SortRichEditor","60176069","java","2982","16"
"SprintNBA","60463203","java","54392","441"
"JAADAS","60319699","scala","2539","30"
"JAADAS","60319699","java","693307","4159"
"JAADAS","60319699","html","9781","136"
"fangyuanshili","60449956","java","46089","212"
"Sport_Android","60459021","java","3677","52"
"react-native-media-kit","60341518","java","1893","13"
"react-native-media-kit","60341518","javascript","566","6"
"CleanArch","60156249","java","966","23"
"Community","60188015","java","9799","137"
"mojito","60379785","java","48011","524"
"mojito","60379785","javascript","9013","82"
"mojito","60379785","html","26","1"
"android-tvheadend","60466023","java","8009","77"
"Dribbbler","60395071","java","2257","36"
"Factorization","60204051","java","75473","560"
"Factorization","60204051","python","143","4"
"android_frameworks_base","60332720","java","2556380","5734"
"android_frameworks_base","60332720","csharp","4392","21"
"android_frameworks_base","60332720","javascript","7545","10"
"android_frameworks_base","60332720","c","1442","11"
"android_frameworks_base","60332720","html","1029891","2351"
"android_frameworks_base","60332720","cpp","229109","501"
"android_frameworks_base","60332720","python","3654","11"
"springexamples","60223405","java","4013","112"
"ExpandableLayout","60608712","java","778","17"
"react-native-firestack","60655868","java","2692","10"
"react-native-firestack","60655868","javascript","1992","22"
"Android-SlidingEmojiKeyboard","60697878","java","2339","27"
"android","60561834","java","62106","271"
"android","60561834","html","3526","5"
"android","60561834","python","291","1"
"ClassifyView","60682238","java","4415","34"
"FraudDetection-DataMicroservices","60737384","scala","223","2"
"FraudDetection-DataMicroservices","60737384","java","1284","27"
"FraudDetection-DataMicroservices","60737384","javascript","12","3"
"FraudDetection-DataMicroservices","60737384","html","483","2"
"MHGenDatabase","60881315","java","33539","280"
"ti.goosh","60849090","java","829","5"
"ti.goosh","60849090","javascript","24","1"
"react-native-twilio-ip-messaging","60699546","java","1523","8"
"react-native-twilio-ip-messaging","60699546","javascript","1262","12"
"ZhihuNews","60848846","java","5743","64"
"ZhihuNews","60848846","javascript","2190","1"
"Jisort","60695853","java","6957","66"
"MDVideo","60621842","java","6965","52"
"frameworks_base","60807738","java","2888703","6725"
"frameworks_base","60807738","csharp","4940","28"
"frameworks_base","60807738","javascript","14931","21"
"frameworks_base","60807738","c","1442","11"
