repoCount,frequency,,,,,
1,2516,,,,1,2516
2,2707,,,,2,2707
3,2626,,,,3,2626
4,2242,,,,4,2242
5,1937,,,,5,1937
6,1672,,,,6-7,3072
7,1355,,,,8-9,2276
8,1234,,,,10-12,2328
9,1042,,,,14-19,2679
10,888,,,,,
11,803,,,,,
12,637,,,,,
13,604,,,,,
14,514,,,,,
15,476,,,,,
16,402,,,,,
17,355,,,,,
18,328,,,,,
19,288,,,,,
20,277,,,,,
21,239,,,,,
22,228,,,,,
23,210,,,,,
24,164,,,,,
25,189,,,,,
26,157,,,,,
27,149,,,,,
28,130,,,,,
29,107,,,,,
30,99,,,,,
31,114,,,,,
32,103,,,,,
33,78,,,,,
34,64,,,,,
35,80,,,,,
36,69,,,,,
37,79,,,,,
38,50,,,,,
39,43,,,,,
40,47,,,,,
41,42,,,,,
42,59,,,,,
43,46,,,,,
44,47,,,,,
45,45,,,,,
46,36,,,,,
47,34,,,,,
48,50,,,,,
49,31,,,,,
50,25,,,,,
51,35,,,,,
52,28,,,,,
53,20,,,,,
54,29,,,,,
55,24,,,,,
56,22,,,,,
57,22,,,,,
58,29,,,,,
59,22,,,,,
60,24,,,,,
61,20,,,,,
62,18,,,,,
63,21,,,,,
64,18,,,,,
65,17,,,,,
66,14,,,,,
67,23,,,,,
68,20,,,,,
69,12,,,,,
70,15,,,,,
71,24,,,,,
72,10,,,,,
73,10,,,,,
74,12,,,,,
75,6,,,,,
76,10,,,,,
77,10,,,,,
78,13,,,,,
79,13,,,,,
80,7,,,,,
81,7,,,,,
82,13,,,,,
83,10,,,,,
84,7,,,,,
85,6,,,,,
86,8,,,,,
87,9,,,,,
88,5,,,,,
89,6,,,,,
90,10,,,,,
1039,1,,,,,
92,4,,,,,
93,12,,,,,
94,5,,,,,
95,5,,,,,
96,5,,,,,
97,5,,,,,
98,2,,,,,
99,9,,,,,
100,11,,,,,
101,6,,,,,
102,6,,,,,
103,9,,,,,
104,5,,,,,
105,2,,,,,
106,6,,,,,
107,6,,,,,
108,5,,,,,
109,2,,,,,
110,4,,,,,
111,4,,,,,
112,6,,,,,
113,5,,,,,
114,2,,,,,
115,3,,,,,
116,4,,,,,
117,3,,,,,
118,3,,,,,
119,4,,,,,
120,1,,,,,
121,3,,,,,
122,5,,,,,
1659,1,,,,,
124,1,,,,,
125,7,,,,,
126,1,,,,,
127,3,,,,,
128,5,,,,,
129,2,,,,,
130,4,,,,,
131,3,,,,,
132,2,,,,,
133,2,,,,,
134,4,,,,,
135,3,,,,,
136,5,,,,,
137,4,,,,,
138,3,,,,,
139,2,,,,,
141,1,,,,,
142,3,,,,,
143,2,,,,,
144,4,,,,,
145,1,,,,,
146,3,,,,,
147,3,,,,,
149,3,,,,,
150,3,,,,,
151,5,,,,,
152,2,,,,,
202,1,,,,,
154,1,,,,,
668,1,,,,,
2586,1,,,,,
158,2,,,,,
159,3,,,,,
160,4,,,,,
161,3,,,,,
163,2,,,,,
164,1,,,,,
165,2,,,,,
166,1,,,,,
167,4,,,,,
168,2,,,,,
169,2,,,,,
170,1,,,,,
199,3,,,,,
172,1,,,,,
173,2,,,,,
174,4,,,,,
175,1,,,,,
176,2,,,,,
91,4,,,,,
627,1,,,,,
181,2,,,,,
183,1,,,,,
184,1,,,,,
185,1,,,,,
188,3,,,,,
189,2,,,,,
190,3,,,,,
191,3,,,,,
192,1,,,,,
194,1,,,,,
195,1,,,,,
196,3,,,,,
197,1,,,,,
198,2,,,,,
1569,1,,,,,
201,3,,,,,
518,1,,,,,
204,1,,,,,
206,1,,,,,
888,1,,,,,
791,1,,,,,
1745,1,,,,,
210,1,,,,,
547,1,,,,,
212,1,,,,,
213,2,,,,,
214,1,,,,,
215,2,,,,,
216,2,,,,,
217,1,,,,,
218,1,,,,,
219,1,,,,,
221,1,,,,,
222,2,,,,,
223,2,,,,,
224,1,,,,,
246,1,,,,,
123,3,,,,,
228,1,,,,,
178,3,,,,,
233,1,,,,,
234,2,,,,,
237,1,,,,,
1775,1,,,,,
240,1,,,,,
241,1,,,,,
243,1,,,,,
244,1,,,,,
707,1,,,,,
247,1,,,,,
253,2,,,,,
255,1,,,,,
257,1,,,,,
258,1,,,,,
260,1,,,,,
179,1,,,,,
264,1,,,,,
4875,1,,,,,
270,3,,,,,
271,1,,,,,
274,1,,,,,
279,1,,,,,
287,1,,,,,
289,2,,,,,
290,1,,,,,
293,1,,,,,
2854,1,,,,,
295,1,,,,,
298,2,,,,,
1118,1,,,,,
302,1,,,,,
304,1,,,,,
309,2,,,,,
2738,1,,,,,
624,1,,,,,
324,1,,,,,
327,1,,,,,
331,1,,,,,
338,2,,,,,
339,1,,,,,
340,2,,,,,
346,2,,,,,
348,1,,,,,
1886,1,,,,,
523,1,,,,,
865,1,,,,,
355,1,,,,,
1384,1,,,,,
362,1,,,,,
878,1,,,,,
367,1,,,,,
24945,1,,,,,
370,2,,,,,
371,1,,,,,
1683,1,,,,,
745,1,,,,,
1146,1,,,,,
209,1,,,,,
388,1,,,,,
577,1,,,,,
392,1,,,,,
397,1,,,,,
400,1,,,,,
915,1,,,,,
1196,1,,,,,
422,1,,,,,
156,2,,,,,
227,1,,,,,
1453,1,,,,,
434,2,,,,,
440,1,,,,,
442,1,,,,,
867,1,,,,,
448,2,,,,,
672,1,,,,,
453,1,,,,,
673,1,,,,,
714,1,,,,,
458,1,,,,,
467,1,,,,,
470,1,,,,,
211,1,,,,,
1504,1,,,,,
171,1,,,,,
486,1,,,,,
496,1,,,,,
497,2,,,,,
509,1,,,,,
