"userName","userID","publicReposCount","followersCount","followingCount","subscriptionsCount"
"0-elip","15972020","4","0","2","6"
"007spectre","16068724","5","1","6","5"
"00hacktheworld00","3876425","3","0","1","3"
"011993","16955350","1","0","0","2"
"012345liu","20509531","1","1","0","1"
"01org","1635439","331","0","0","0"
"026rus","10980576","12","1","0","13"
"029vaibhav","12323569","18","0","0","21"
"061626","16496087","7","0","0","6"
"07jeancms","6953599","8","1","0","12"
"0gravity000","16470690","9","0","0","11"
"0ks3ii","2794627","149","27","152","30"
"0lialin0","1171440","2","0","0","2"
"0lidaxiang","11496418","17","0","3","22"
"0Linchen","19362246","2","1","0","2"
"0P618","19758681","3","0","0","0"
"0rango","4977916","3","0","1","10"
"0sw4l","8086136","16","10","16","22"
"1004145468","15442222","13","0","0","13"
"100905067","1674167","10","0","0","13"
"1014violin","22324967","4","0","0","0"
"10203264","22829968","5","0","0","0"
"1028540476cl","21114018","5","0","0","2"
"1031307403","12816333","4","0","2","4"
"1037704496","7380899","38","0","0","30"
"103percent","22898049","2","0","0","1"
"1040242400","15228394","1","1","0","2"
"1049884729","5483726","66","0","76","30"
"106-","6437611","1","0","1","1"
"1060680253","15134794","13","1","12","13"
"10uroi","13977714","1","1","0","1"
"1104646539","15625806","2","0","0","2"
"1107979819","7136052","40","1","1","30"
"1111Jin","22719302","3","0","0","0"
"1152730631","19703769","14","4","5","14"
"1179432578","13725957","11","0","0","12"
"11NJ","8324868","6","0","0","9"
"123987asd","11978021","4","2","1","4"
"123joshuawu","9285017","5","1","0","7"
"123xuan456","21234200","2","1","0","0"
"1242157902","15686902","9","0","0","9"
"124team","19603409","2","0","0","0"
"1254698662","20272980","1","0","0","2"
"1263612846","20080765","10","0","0","11"
"1275563227","18593085","4","0","2","5"
"129tyc","20501467","1","0","0","1"
"12Group","20805694","1","0","0","0"
"12thtone","8963828","18","5","0","18"
"1311430135","20805883","4","0","0","0"
"1312279LeVietKhang","16404289","9","0","0","10"
"1318526619","17777665","43","0","5","30"
"13190171610","19528488","1","1","1","1"
"1325731","22176312","1","1","1","0"
"13261538939","10162834","5","1","4","5"
"13576272954","22492321","5","0","0","0"
"13650161211","20394301","5","0","1","5"
"13885570757","19770246","3","0","0","3"
"1392755394","19404617","4","0","0","4"
"13dec2537","21168387","5","0","0","0"
"13natty","3337385","22","0","0","21"
"13zzheng","11849143","9","0","0","9"
"14110141","22536306","4","0","0","0"
"14150808ul","17113265","2","0","0","2"
"14251104246","22072003","2","0","0","1"
"1471880107","20713761","2","0","0","0"
"14dtj","11440224","8","6","7","14"
"1504","9203440","10","0","0","0"
"15102377525","21210872","6","0","0","0"
"15301089517","18378343","3","0","0","3"
"15302010025","16734415","3","0","0","3"
"15394730733","17246310","3","0","0","3"
"15608447849","19607623","14","0","0","14"
"15620879530","21254011","4","1","2","0"
"15652701030","15100489","4","0","0","5"
"15862175370","17067617","3","2","66","3"
"1613-14","23006079","1","0","0","0"
"1641835946","17560878","4","1","0","4"
"17100080","16830529","3","0","0","3"
"172098388","20553902","11","0","0","11"
"17710669330","23010977","4","0","0","0"
"17712484466","17866025","10","0","0","11"
"1773208968","22334979","4","0","0","0"
"1797890817","22413874","8","9","0","0"
"17changm95","21264461","3","0","0","0"
"17ijcurtis","8863751","1","0","1","1"
"17tangn58","21265388","2","0","0","0"
"18113693225","16755232","9","2","4","10"
"1812507678","17884327","19","22","42","22"
"18202327276herui","10161977","3","0","1","4"
"18322134412","18303174","12","0","0","12"
"18380460383","19286005","6","0","0","6"
"18601105586","10845466","3","7","4","15"
"18671183990","14960067","20","0","11","22"
"18722527635","13051736","10","15","2","10"
"187295890","20554025","9","0","1","9"
"18771811872","20197212","3","0","0","3"
"18814127356","11677270","12","1","0","13"
"18814127430","15710201","4","0","0","4"
"18984955240","16495539","6","0","1","7"
"18rpaolucci","22379059","2","0","0","0"
"190970138","20654168","7","0","0","7"
"1993hzw","6942853","8","9","2","8"
"1997mattmcc","19825770","2","0","0","2"
"19century","22310221","2","0","0","0"
